ID,SKU,Manufacturer,Model,Variant,Network,Capacity,Color,Grade,Damages,Weight,Weight Unit
2640523,GALAXYS22ULTSM-S908UZKAXAA128BLACA,Samsung,Galaxy S22 Ultra,SM-S908UZKAXAA,Wi-Fi,128GB,Black,A Grade,"",,
2640524,GALAXYS22ULTSM-S908UZKAXAA128BLACC,Samsung,Galaxy S22 Ultra,SM-S908UZKAXAA,Wi-Fi,128GB,Black,C Grade,"",,
2640528,GALAXYS22ULTSM-S908UZKFXAA512GREEA,Samsung,Galaxy S22 Ultra,SM-S908UZKFXAA,Wi-Fi,512GB,Green,A Grade,"",,
2640531,GALAXYS21+5GSM-G996BZKGEUB128BLACB,Samsung,Galaxy S21+ 5G,SM-G996BZKGEUB,Wi-Fi,128GB,Black,B Grade,"",,
2640534,GALAXYS20FE5SM-G781U128NAVYA,Samsung,Galaxy S20 FE 5G,SM-G781U,Wi-Fi,128GB,Navy,A Grade,"",,
2640537,GALAXYS21ULTSM-G998B/DS256BLACA,Samsung,Galaxy S21 Ultra 5G,SM-G998B/DS,Wi-Fi,256GB,Black,A Grade,"",,
2640541,AIRPODS2NDGEA2032N/AWHITB,Apple,AirPods 2nd Gen,A2032,Wi-Fi,N/A,White,B Grade,"",,
2640542,AIRPODS2NDGEA2032N/AWHITP,Apple,AirPods 2nd Gen,A2032,Wi-Fi,N/A,White,PARTS & REPAIR,"",,
2640545,AIRPODS3RDGEA2565N/AWHITN,Apple,AirPods 3rd Gen,A2565,Wi-Fi,N/A,White,NEW,"",,
2640546,AIRPODS3RDGEA2565N/AWHITA,Apple,AirPods 3rd Gen,A2565,Wi-Fi,N/A,White,A Grade,"",,
2640547,AIRPODS3RDGEA2565N/AWHITB,Apple,AirPods 3rd Gen,A2565,Wi-Fi,N/A,White,B Grade,"",,
2640548,AIRPODS3RDGEA2565N/AWHITC,Apple,AirPods 3rd Gen,A2565,Wi-Fi,N/A,White,C Grade,"",,
2640558,GALAXYS22SMS901U1SPECTRUMUSA128VLA,Samsung,Galaxy S22,SM-S901U1,Wi-Fi,128GB,Violet,A Grade,"",,
2640559,GALAXYS22SM-S901U1256GREEA,Samsung,Galaxy S22,SM-S901U1,Wi-Fi,256GB,Green,A Grade,"",,
2640560,GALAXYS22SM-S901U1256PINKA,Samsung,Galaxy S22,SM-S901U1,Wi-Fi,256GB,Pink,A Grade,"",,
2640569,LATITUDE3440512BLACA,Dell,"Latitude 3440 (14-inch, 2023)","3440 (16GB RAM, i7 1335U)",Wi-Fi,512GB,Black,A Grade,"",,
2640581,GALAXYS21FE5SM-G990U128WHITA,Samsung,Galaxy S21 FE 5G,SM-G990U,Wi-Fi,128GB,White,A Grade,"",,
2640589,YOGA260128BLACC,Lenovo,"Yoga 260 (12.5-inch, 2016)","(4GB RAM, i3 6200U)",Wi-Fi,128GB,Black,C Grade,"",,
2640590,YOGA260128BLACB,Lenovo,"Yoga 260 (12.5-inch, 2016)","(4GB RAM, i3 6200U)",Wi-Fi,128GB,Black,B Grade,"",,
2640592,MACBOOKPRO256SILVA00002,Apple,"MacBook Pro (13-inch, 2018)","A1989 (8GB RAM, 2.3GHz i5)",Wi-Fi,256GB,Silver,A Grade,"",,
2640595,GALAXYS8ULTRKEYBOARDCOVERN/ABLACA,Samsung,Galaxy S8 Ultra Keyboard Cover,Keyboard Cover,N/A,N/A,Black,A Grade,"",,
2640608,DJIMAVICCLASCPMA0000055401NAGREYA,DJI,Dji Mavic Classic,CP.MA.00000554.01,Wi-Fi,N/A,Grey,A Grade,"",,
2640611,GALAXYA13SM-A13564GBLACA,Samsung,Galaxy A13,SM-A135,Wi-Fi,64GB,Black,A Grade,"",,
2640614,GALAXYA155GSM-A155128BLACA,Samsung,Galaxy A15 5G,SM-A155,Wi-Fi,128GB,Black,A Grade,"",,
2640617,GALAXYA325G6SMA326XFINITYUSA64BLCA,Samsung,Galaxy A32 5G,SM-A326,Wi-Fi,64GB,Black,A Grade,"",,
2640620,GALAXYA535GSM-A536128BLACA,Samsung,Galaxy A53 5G,SM-A536,Wi-Fi,128GB,Black,A Grade,"",,
2640623,GALAXYA525GSMA526TMOBUSA128BLACA,Samsung,Galaxy A52 5G,SM-A526,Wi-Fi,128GB,Black,A Grade,"",,
2640627,IMAC512SILVA,Apple,"iMac (27-inch, 5K, 2020)","A2115 (64GB RAM, 3.8GHz 8 Core i7)",Wi-Fi,512GB,Silver,A Grade,"",,
2640634,LATITUDE7370256GREYB,Dell,"Latitude 7370 (13-inch, 2016)","7370 (8GB RAM, M7-6Y7S)",Wi-Fi,256GB,Grey,B Grade,"",,
2640645,MACBOOKAIR256GOLDC,Apple,"MacBook Air (13-inch, 2020)","A2179 (8GB RAM, 1.1GHz i3)",Wi-Fi,256GB,Gold,C Grade,"",,
2640646,MACBOOKAIR256ROSEC,Apple,"MacBook Air (13-inch, 2020)","A2179 (8GB RAM, 1.1GHz i3)",Wi-Fi,256GB,Rose Gold,C Grade,"",,
2640647,MACBOOKAIR(1A2179)8256RGA,Apple,"MacBook Air (13-inch, 2020)","A2179 (8GB RAM, 1.1GHz i3)",Wi-Fi,256GB,Rose Gold,A Grade,"",,
2640648,MACBOOKAIR256SILVA,Apple,"MacBook Air (13-inch, 2020)","A2179 (8GB RAM, 1.1GHz i3)",Wi-Fi,256GB,Silver,A Grade,"",,
2640649,MACBOOKAIR256SPACC00002,Apple,"MacBook Air (13-inch, 2020)","A2179 (8GB RAM, 1.1GHz i3)",Wi-Fi,256GB,Space Grey,C Grade,"",,
2640650,MBAA2179i38256SGB,Apple,"MacBook Air (13-inch, 2020)","A2179 (8GB RAM, 1.1GHz i3)",Wi-Fi,256GB,Space Grey,B Grade,"",,
2640651,MBAA2179i38256SGA,Apple,"MacBook Air (13-inch, 2020)","A2179 (8GB RAM, 1.1GHz i3)",Wi-Fi,256GB,Space Grey,A Grade,"",,
2640654,MACBOOKAIR256SPACA00002,Apple,"MacBook Air (13-inch, 2019)","A1932 (16GB RAM, 1.6GHz i5)",Wi-Fi,256GB,Space Grey,A Grade,"",,
2640662,MACBOOKAIR128GOLDB,Apple,"MacBook Air (13-inch, 2019)","A1932 (8GB RAM, 1.6GHz i5)",Wi-Fi,128GB,Gold,B Grade,"",,
2640663,MACBOOKAIA1932128SILVC,Apple,"MacBook Air (13-inch, 2019)","A1932 (8GB RAM, 1.6GHz i5)",Wi-Fi,128GB,Silver,C Grade,"",,
2640664,MBA1919328128SLVA,Apple,"MacBook Air (13-inch, 2019)","A1932 (8GB RAM, 1.6GHz i5)",Wi-Fi,128GB,Silver,A Grade,"",,
